category,product_name,price,unit,url,norm_name
Dairy & Eggs,Organic Sweet Cream Creamer,$2.99,/16 Fl Oz,https://www.traderjoes.com/home/products/pdp/organic-sweet-cream-creamer-080825,sweet cream creamer
Dairy & Eggs,Organic Milk A2/A2,$5.99,/64 Fl Oz,https://www.traderjoes.com/home/products/pdp/organic-milk-a2a2-080971,milk a2/a2
Dairy & Eggs,Chocolate Whipped Light Cream,$4.49,/13 Oz,https://www.traderjoes.com/home/products/pdp/chocolate-whipped-light-cream-080948,chocolate light cream
Dairy & Eggs,Salted Maple Cold Foam Creamer,$4.49,/15 Oz,https://www.traderjoes.com/home/products/pdp/salted-maple-cold-foam-creamer-081671,maple cold foam creamer
Dairy & Eggs,Vanilla Flavored Cold Foam Creamer,$4.49,/15 Oz,https://www.traderjoes.com/home/products/pdp/vanilla-flavored-cold-foam-creamer-081528,vanilla flavored cold foam creamer
Dairy & Eggs,Greek YogurtHoney Made with Whole Milk,$0.99,/5.3 Oz,https://www.traderjoes.com/home/products/pdp/greek-yogurthoney-made-with-whole-milk-078613,greek yogurthoney with whole milk
Dairy & Eggs,Greek Lowfat Yogurt Plain,$2.99,/16 Oz,https://www.traderjoes.com/home/products/pdp/greek-lowfat-yogurt-plain-086453,greek lowfat yogurt plain
Dairy & Eggs,Kramer Farms Cage Free Hard-Boiled Eggs,$3.49,/9.3 Oz,https://www.traderjoes.com/home/products/pdp/kramer-farms-cage-free-hard-boiled-eggs-081451,kramer farms cage free hard-boiled eggs
Dairy & Eggs,"Butter with Parmesan, Garlic & Herb",$2.99,/4 Oz,https://www.traderjoes.com/home/products/pdp/butter-with-parmesan-garlic-herb-079481,butter with parmesan
Dairy & Eggs,Whipt™ Plant Based Dairy Free Whipped Coconut,$3.99,/6.5 Oz,https://www.traderjoes.com/home/products/pdp/whipt-plant-based-dairy-free-whipped-coconut-081188,whipt™ plant dairy free coconut
Dairy & Eggs,Strained Thick & Creamy Greek Yogurt Plain,$5.49,/32 Oz,https://www.traderjoes.com/home/products/pdp/strained-thick-creamy-greek-yogurt-plain-078900,thick & creamy greek yogurt plain
Dairy & Eggs,Vanilla & Cream Yogurt,$2.69,/16 Oz,https://www.traderjoes.com/home/products/pdp/vanilla-cream-yogurt-079506,vanilla & cream yogurt
Dairy & Eggs,Raspberries & Cream Yogurt,$2.69,/16 Oz,https://www.traderjoes.com/home/products/pdp/raspberries-cream-yogurt-079511,raspberries & cream yogurt
Dairy & Eggs,Meyer Lemon & Cream Yogurt,$2.69,/16 Oz,https://www.traderjoes.com/home/products/pdp/meyer-lemon-cream-yogurt-079508,meyer lemon & cream yogurt
Dairy & Eggs,Blueberries & Cream Yogurt,$2.69,/16 Oz,https://www.traderjoes.com/home/products/pdp/blueberries-cream-yogurt-079507,blueberries & cream yogurt
Dairy & Eggs,Butter with Brown Sugar & Maple Syrup,$2.99,/4 Oz,https://www.traderjoes.com/home/products/pdp/butter-with-brown-sugar-maple-syrup-079482,butter with brown sugar & maple syrup
Dairy & Eggs,Organic Pasture Raised Large Brown Eggs,$6.99,/1 Doz,https://www.traderjoes.com/home/products/pdp/organic-pasture-raised-large-brown-eggs-072270,pasture brown eggs
Dairy & Eggs,Vanilla Bean Whole Milk Greek Yogurt,$5.49,/32 Oz,https://www.traderjoes.com/home/products/pdp/vanilla-bean-whole-milk-greek-yogurt-078444,vanilla bean whole milk greek yogurt
Dairy & Eggs,Small Curd Cottage Cheese,$4.49,/32 Oz,https://www.traderjoes.com/home/products/pdp/small-curd-cottage-cheese-042890,small curd cottage cheese
